,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
125,48,512,128,64,32,8,0.2,5,0.001,40,8329153024,8300086272,99,99
126,48,512,128,64,32,16,0.0,5,0.001,40,283061696,287570848,14,14
127,48,512,128,64,32,16,0.2,5,0.001,40,1050953792,1984750336,28,45
128,168,256,64,32,16,8,0.0,5,0.001,40,8344476160,8306493952,99,99
129,168,256,64,32,16,8,0.2,5,0.001,40,8390304768,8352989184,99,99
130,168,256,64,32,16,16,0.0,5,0.001,40,0,0,0,0
131,168,256,64,32,16,16,0.2,5,0.001,40,886397568,1106514048,26,29
132,168,256,64,32,32,8,0.0,5,0.001,40,0,0,0,0
133,168,256,64,32,32,8,0.2,5,0.001,40,0,0,0,0
134,168,256,64,32,32,16,0.0,5,0.001,40,0,0,0,0
135,168,256,64,32,32,16,0.2,5,0.001,40,0,0,0,0
136,168,256,64,64,16,8,0.0,5,0.001,40,7782848000,7733798912,95,95
137,168,256,64,64,16,8,0.2,5,0.001,40,0,0,0,0
138,168,256,64,64,16,16,0.0,5,0.001,40,311867776,295676416,15,17
139,168,256,64,64,16,16,0.2,5,0.001,40,2795908864,6767620608,48,89
140,168,256,64,64,32,8,0.0,5,0.001,40,8259056640,8213625344,99,99
141,168,256,64,64,32,8,0.2,5,0.001,40,0,0,0,0
142,168,256,64,64,32,16,0.0,5,0.001,40,0,0,0,0
143,168,256,64,64,32,16,0.2,5,0.001,40,8373002752,8343679488,99,99
144,168,256,128,32,16,8,0.0,5,0.001,40,0,0,0,0
145,168,256,128,32,16,8,0.2,5,0.001,40,8277706240,8308385280,99,99
146,168,256,128,32,16,16,0.0,5,0.001,40,0,0,0,0
147,168,256,128,32,16,16,0.2,5,0.001,40,0,0,0,0
148,168,256,128,32,32,8,0.0,5,0.001,40,0,0,0,0
149,168,256,128,32,32,8,0.2,5,0.001,40,1353953152,4832908800,32,74
150,168,256,128,32,32,16,0.0,5,0.001,40,0,0,0,0
151,168,256,128,32,32,16,0.2,5,0.001,40,8386060288,8348628992,99,99
152,168,256,128,64,16,8,0.0,5,0.001,40,0,0,0,0
153,168,256,128,64,16,8,0.2,5,0.001,40,8298973696,8302418944,99,99
154,168,256,128,64,16,16,0.0,5,0.001,40,0,0,0,0
155,168,256,128,64,16,16,0.2,5,0.001,40,0,0,0,0
156,168,256,128,64,32,8,0.0,5,0.001,40,0,0,0,0
157,168,256,128,64,32,8,0.2,5,0.001,40,0,0,0,0
158,168,256,128,64,32,16,0.0,5,0.001,40,0,0,0,0
159,168,256,128,64,32,16,0.2,5,0.001,40,852386688,395773824,25,15
160,168,512,64,32,16,8,0.0,5,0.001,40,6622834176,6571335680,88,87
161,168,512,64,32,16,8,0.2,5,0.001,40,0,0,0,0
162,168,512,64,32,16,16,0.0,5,0.001,40,167288464,160690320,11,10
163,168,512,64,32,16,16,0.2,5,0.001,40,0,0,0,0
164,168,512,64,32,32,8,0.0,5,0.001,40,0,0,0,0
165,168,512,64,32,32,8,0.2,5,0.001,40,0,0,0,0
166,168,512,64,32,32,16,0.0,5,0.001,40,0,0,0,0
167,168,512,64,32,32,16,0.2,5,0.001,40,0,0,0,0
168,168,512,64,64,16,8,0.0,5,0.001,40,0,0,0,0
169,168,512,64,64,16,8,0.2,5,0.001,40,0,0,0,0
170,168,512,64,64,16,16,0.0,5,0.001,40,0,0,0,0
171,168,512,64,64,16,16,0.2,5,0.001,40,0,0,0,0
172,168,512,64,64,32,8,0.0,5,0.001,40,0,0,0,0
173,168,512,64,64,32,8,0.2,5,0.001,40,0,0,0,0
